summary,text
Breakfast time,"Kali ini aku dateng pas jam breakfast, ternyata menu breakfast nya juga lumayan banyak.. Dan meskipun pagi gini table nya udah banyak ke isi loh.. Yang aku cobain disini juga cukup banyak loh- Tahu Telor- Ketan Bakar- Kue Basah- Nasi Goreng Jawa- Pisang Jore- Tape Goreng- Nasi Uduk Komplit- Telor Ayam Kampung- Lontong Cap Gomeh- Pisang Keju- Nasi Kuning- Risoles- Gado-gado- Sampeu Goreng- Roti Bakar Sarikaya- Roti Bakar Coklat- Banyu Biru (bunga telang & kayu manis)- Globe Amarath (bunga globe amarath)- Jeruk Nipis Madu- Coklat Panas- Kopi Susu Tubruk- Wedang Uwuh- Beras Kencur- Kopi JosNasi kuning dan nasi uduk nya enak banget dan condiment nya komplit banget.. Si nasi nya tuh gurih dan berasa rempah nya. Nasi goreng jawa nya juga enak, ini siih anakku suka banget, berasa smokey gitu deh enak.. Lontong cap go meh nya enak,, light gitu tp rich rasanya. Tahu telor nya mirip kupat tahu, tp gak pake kupat. Roti bakar coklat dan srikaya nya enak, tp ak lebih rekomendasi in yg roti bakat coklat. Minuman nya ak cobain hot coklat.. Rasa coklat nya berasa, dan enak gak terlalu manis.Trus ak suka sm globe amarath flowers tea,, ini light banget tp aroma teh nya berasa bikin relax gitu.. Overall makanan disini enak enak,, mesti dicoba banget.."
Seribu menu 😁,"Ke 2 kalinya ke roemah legit, ga pernah bosen karena tempatnya cozy, makanannya juga enak. Kali ini nyoba menu2 breakfast 😁 - tahu telor : rasanya gurih, bumbu kacangnya juge lekoh ada toge nya jadi fresh. - kue basah : nyoba onde2 yg gede banget, rasanya enak cuman agak alot karena udah dingin. - nasi uduk komplit : nasinya gurih santan, pelengkap lain seperti ayam, tempe orek, telor dadar, kentang balado, soun sama waluhnya sangat melengkapi nasi uduk nya karena semua rasanya enak. - lontong cap gomeh : gurih kuahnya pas, lontongnya lembut, potongan ayamnya banyak, ada tahunya juga, porsinya mengenyangkan. - risoles : juara banget , isinya keju, enak & gurih, garing diluar tapi lembut di dalam. - roti bakar coklat : rotinya gendut tapi lembut pas digigit. Perpaduan pas coklat & serutan keju bikin rotinya endul. - globe amarath : teh nya dimasukin bunga globe amarath, rasanya aman aja cuman ada aroma bunga nya. - kopi susu tubruk : perpaduan kopi sama susunya pas, pas diseruput lekoh rasanya kaya banget. - kopi jos : kopi hitam panas ditambah arang panas 😁 saya kira rasanya pait, terus pas nyoba ternyata rasanya enak, ada manis & pahit. Perpaduan yg pas 👍"
Fams gathering,Lagi kumpul-kumpul keluarga dan venuenya kebetulan disini! Berhubung saya emang sukanya makanan Nusantaranya ya kalau disini jadi saya pribadi ordernya yang Nusantara kayak nasi udang sama nasi goreng rawon gitu. Terus sempet juga cobain kwetiau siramnya ya enak sih dan porsinya ternyata lumayan besar! Minumannya baik yang hangat maupun es juga overallnya enak-enak.
Edisi Natal,"Seneng banget sama dekorasi Natal disini. Simple tapi masuk sama konsep Indonesian modernnya! Pas dapet duduk di dekat pohon natalnya pula! Awww! Senangnya. As usual saya pakai kupon Perkul buat ngemil-ngemil cantik aja sih. Saya order gehu (enak banget asli, bisa request juga mau pedas/ga), batagor crispy (yang kali ini ditatanya lucu kayak lagi ririungan gitu), dan keju kareeuh (keju aroma sih beda nama doang). Nah minumnya as usual teh poci pake gula batu. Pas banget suasananya lagi gerimis. Ngeteh dan ngemil yang anget². Uhuy!"
Nasi Ayam Betutunya Enak!,"Nyobain resto yang menunya banyaakkk banget, ada masakan indonesia, masakan barat, masakan itali, cemilan, kopi, roti dan lain-lain.. Karena sudah waktu makan siang, akhirnya ku pesen makanan berat aja deh yaitu Nasi Ayam Betutu~ Pertama kali nyobain bumbu betutu, ternyata enak yah, tampilannya mirip bumbu ungkep tapi dari rasa lebih melimpah rasa rempahnya, enakkk 🥹 kondimennya banyak juga ada kacang tanah goreng, sambal matah, sambal kecombrang, urap dan tahu. Aku ngerasa udah milih makan siang yang sempurna ✨Untuk cemilannya aku pesen lumpiah goreng, rasanya dominan manis, didalemnya ada rebung (?) dan telur, luarnya krispi, ada bumbu cocolnya yang kenyal-kenyal untuk olesan di lumpiah basah (aku gatau namanya 😅) yang manis itu loh.. agak jauh dari ekspetasi aku yang ngebayangin lumpiahnya rasanya gurih asin tapi ternyata dominan manis 🥲Untuk teh hangatnya aku suka, gatau pake teh apa tapi wangi dan disajikan masih panas. Pake mug besar juga jadi banyak isinya 👏🏻"
Puas!,"Kumpul keluarga emang paling pas disini si, segala menu nusantara tersedia jadi cocok banget buat lidah ortu yang suka picky. Interior dan ambience-nya juga adem dan homey banget jadi bikin betah, pun sama pelayanannya yang gercep dan selalu stand by.
Makanannya pilih Sop Pata Ikan Nila (63.5K), Sego Bebek Pahiny (77.5K), Nasi Goreng Djawa (39.5K) dan Nasi Cikur Roemah Legit (59K), semuanya porsinya lengkap banget, rasa2 rempahnya juga berasa. Yang Baso Udang Mercon (59.5K) pun pedasnya ngena, basonya empuk berisi dengan udang yang porsinya gede dan dominan daging. Cemilan Lumpiah Goreng (40K)-nya juga padet berisi dengan dipping sauce yang manis pas.
Pun sama minuman-minumannya, Pure Orange (38K), Es Kelapa Jeruk (35K) dan Es Campur (35K)-nya seger banget dan manis pas. Milkshake Vanilla (35K) dan Ice Klepon Latte (35K) whipped cream-nya lumayan banyak jadi creamy, klepon-nya sendiri rasanya lebih light dari yang pernah aq coba sebelumnya, tapi hint rasa kleponnya masih yang berasa."
Resto Dengan konsep yang mewah,"Resto nya ciamik,,mewah dan elegan,,kebetulan saya dilantai 2 area smoking nya,, tempat nya luas,,ada Playground buat yg bawa anak,, kl tempat non smoking nya kesan elegan nya dpt bngt,, cocok buat yg bawa keluarga,, menu nya nusantara tapi agak pricy ya,, tp sesuai kok ama rasa dan dekorasi pada makanan nya yg cuanteek,, soal rasa rata2 enak,Saya memesan nasi ayam betutu,, mnrut saya bumbu bali nya kurang berasa,,lebih ke ayam bumbu kuning saja,, mgkin chef nya menyesuaikan dg lidah org bandung kali ya,, trus saya juga pesen mie kocok,, ini enak parah sih,,saya tipikal ga suka ama mie kocok yg bau kikil gt,,di sini ga bau sama sekali,, trus di kasih baso cahrcoal isi keju leleh,,ulaalaaa sedap,, utk miniman saya pesan es cendol yg creamy bngt,,lekoh santen nya,, worth it utk di coba,, pas buat yg baru gajian hehehe"
Dinner sultan~,"Hari ini dinner lagi di roemah legit! Seperti biasa disini menunya bener2 variatif banget, main conceptnya makanan Indonesia tapi fusion & western juga ada. Makanannya selalu dibuat fresh dan porsinya generous. Kali ini menu yang dicoba: - Iga bakar- soto banjar- sapi lada ireng - Nasi Hanjuang- Bistik Dampola- Nasi Jinggo- sambal mangga- Sei sapi- cumi bakar madu- salmon udaka- pindang ayam -Batagor legit- Perkedel jagung- Nasi goreng mawut -Tiramisu cake - Opera cake -salmon steakBatagornya sebagai appetizer legit banget! Wajib dicoba. Untuk makanannya nasi hanjuang dengan condiments yang lengkap juga enak, nasinya wangi. My favorite dari menu yang dicoba sekarang sih iga bakar, sapi lada ireng dan bistik dampolanya. Untuk iganya empuk dan gede banget, bumbu bbqnya enak tapi kuah sopnya agak kemanisan dikit. Sapi lada irengnya bumbunya medok dan dagingnya empuk. Bistik dampola ini unik, steak tapi pake nasi. Marinasi dagingnya enak. Perkedel jagungnya juga enak banget! Crispy dan gurih.Cakenya aku suka tiramisu. Lembut, ga terlalu manis, dan overall rasanya pas.Untuk minumannya yang aku coba:Ginger mojito, ini seger dan unik karena pake jahe tapi ga yang strong banget gitu kok jahenya. Puding legitnya juga emang beneran legit, kaya pake sarikaya gitu dan flanya ditambah vanila dan telur. Overall, selalu seneng kalau abis makan disini. Kualitas makanannya selalu terjaga dan pelayanannya juga top notch!"
Makan enak dan legit!,"Tempatnya bagus banget, suasana nya begitu otentik dan nyaman untuk family dinner.Ada beberapa menu yang disajikanAku akan spotlight yang makanannya enak ya-Cumi bakar maduIni juara parah, 10/10Cuminya lembut, tidak terlalu kenyal, begitu di potong ada telur yg meleber, enak banget sukakk -Iga bakarIga bakarnya best sih, begitu empuk dan cukup manis, enakk -Sei sapiSei sapinya memakai 2 bumbu, bumbu kuning dan satu lg sambal bawang-Nasi goreng mawutNasi goreng mawutnya otentik sih, rasanya begitu enak tidak terlalu over-Ocean Blue SummerIni rasanya kaya susu dan karamel gitu, manis tapi seger, comfort drink bangett"
Jamuan ala Sultan,"Selalu ga pernah nolak sih kalau diajakin kesini, sering ngajak malahan. Soalnya emang tempatnya nyaman, terus servicenya juga oke. Soal makanan sih preferensi ya, ada yang menurut saya enak banget tapi yang agak kurang juga ada tapi dikit lah. Kali ini cobain beberapa menu baru gitu deh dan paling suka sama Iga Bakarnya yang walaupun agak manis tapi empuk banget. Nasi hanjuangnya juga the best! Agak mirip sama lauk-lauknya tumpeng tapi nasinya nasi liwet. Asli, ini bikin pengen nambah lagi kalo ga inget masih ada lauk lainnya."
Resto Rekomennn! ✨,"Beberapa kali makan di sini dan selalu puas. Selain tempatnya nyaman, makanannya juga enak-enak. Ngga lupa pelayanannya yg ok punya. Salah satu resto favorit deh pokoknya.Salah satu-dua-tiga menu yg aku suka banget:Iga bakarPorsinya ngga main-main, besar banget. Dagingnya empuk pula, bumbunya enak. Sudah termasuk nasi & clear soup. Makan ini jamin kenyang.Sapi Lada IrengPotongan daging sapinya lumaya banyak, ada paprikanya. Porsinya lumayan juga sih ini, buat sharing ok laah.Perkedel JagungAku juga suka banget sama iniii, digoreng kering gitu perkedelnya. Buat camilan ini pas banget. Mana rasanya juga enak, ngga keasinan. Mantap 👍Ada yg lainnya juga, kaya Soto Banjar, Nasi Hanjuang, Nasi Jinggo, Sei Sapi, Nasi Goreng Mawut. Semuanya enakkk, ke sini tuh malah jadi bingung mau makan yg mana karena ok-ok makanannya."
Dinner,"Ga paham semua enak-enak dong di @roemahlegit . Cici cobain Kepiting Telur saus Singapore, walau susah meletekkin nya ga usah khawatir krna dikasi alat buat meletekkin cangkangnya, saus singapore bener-bener juara deh. Ga lupa cici pesen cemilan nya Tahu Cabe Garam, enak dan gurih. Minumnya pasti mau yg seger dong, cici cobain Pineapple Punch, asli seger banget. ..🍽️ : @roemahlegit 📍 : Jln. Embong No 15, Naripan, Bandung..#roemahlegit #roemahlegitresto #roemahlegitcafeandresto #roemahlegitbandung #infokuliner #infokulinerbdg #infokulinerbandung #pergikuliner #pergikulinerbandung #pergikulinerbdg #makansamacici #jalanjalansamacici #ngidersamacici"
Kangen bandung kangen Roemah Legit,"Kali kedua ke resto ini..kali ini suasananya lumayan rame..tapi ttp saat masuk..rasanya homy banget..Krn diluar ujan rintik rintik..jadi kepengen makan yg berkuah...jd pesen deh..soto sotoan ...rasanya enak, dan penyajiannya juga menarik bikin pengen cepet cepet di santap panas panas..Tadi pesen juga tahu goreng , cuma menurutku tahunya kurang rasa gitu...dan agak sedikit asem..overall lumayan de..terhibur kangennya dengan soto priangannya dan soto  dermayu..next jika ke bandung lagi..mau nyoba lainnya lagi.."
Cemilannya menggoda 🤤,"Killing time ....nyobain aneka cemilan di Roemah Legit @roemahlegit ... kebetulan ada kupon dari Pergi Kuliner... lumayannnn @kuponpergikuliner@pergikuliner_bdg@pergikuliner thank you 😉👌in frame :Batagor CrispyGehuPisang JoreOtak Otak IkuhCemilannya enak enak... batagor crispynya enak renyah.gehunya guede ya isiannya juga banyak.pisang jore itu pisang goreng pake tabur gula merah trus cocol coklat... enak nih manis pisangnya.and otak otak ikuh itu otak otak goreng... mantaapp 😉👍🏻Suka deh makan disini menu makanan n minumannya banyak banged ampe binun pilihnya soalnya semua pengen 🤤😄Tempatnya juga bagus, bikin betah deh.Roemah Legit @roemahlegitJl. Embong No. 15 BandungWA : 081224554228Tersedia di GoFood"
Ngemil kenyang!,"Pakai kupon perkul lagi nih! Emang sayang dilewatkan kupon disini tuh soalnya seworth it itu! Kali ini saya ngemil bareng keluarga, orderannya seteko teh poci yang disajikan lengkap dengan gula batu dan beberapa cookies, lalu ada tahu bading (pas nanya bilangnya sih kayak tahu aci gitu tapi pas dicobain lebih kayak batagor sih adonan acinya ada aroma seafoodnya), gehu (favorit banget, isinya ga pelit, tahunya ga asem, endul), dan surabi oncom (sayangnya yang ini sedikit hambar di adonan surabinya dan dry jadi tidak se wow dua menu lainnya). Soal pelayanan sih ga perlu diraguin lagi. Merasa jadi sultan. Emang sih agak lama pesanan dibuat tapi worth the wait karena datangnya juga masih hangat."
Neduh + ngemil,"Balik kesini lagi, buat pakai kupon perkul. Asli, emang setiap kesini tuh ga pernah bosan sih. Kali ini masih edisi ngemil chantique bareng bestie, saya ordernya ngteh poci (bisa buat ramean soalnya), tahu telur, tempe mendoan, dan batagor crispy. Soal rasa sih ga diragukan ya enaknya, walau kali ini saya agak kurang cocok sama mendoannya yang kurang rasa (agak hambar) dan kecap sambalnya sedikit banget dikasinya tapi yang lain-lainnya OK koq. Pelayanan super ramah walau memang waktu tunggunya juga ga sebentar tapi gapapa betah soalnya nyaman."
Asem Seger!,"Kali ini nyobain Laksa Wasita (60K), soto khas subang yang isiannya ada bihun beras, udang, telor, potongan timun, nanas, dll.. rasa kuahnya sendiri seger banget, hint asem & pedasnya juga berasa. Dessert Fruit Pie (25K) tekstur kue pastry-nya lebih ke empuk, g terlalu renyah gurih karena ada vla dan buah-buahan segar di topping-nya, rasa asem peach & orange-nya juga seger.
Minuman Ice Klepon Latte (35K)-nya recommended banget si, porsiannya menjulang tinggi, whipped cream-nya juga lumayan banyak dan creamy banget, pun sama rasa2 klepon-nya yang beneran berasa."
roemah legit,"mampir kesini cuma buat cari dessert yang manis manis dan jatuh hati cobain rujak bebeuknya mereka karena waktu dulu cobain rujak galo nya enak, ternyata rujak bebeuknya enak manis tapi ternyata pedas.es duriannya enak banget segar dan durennya juga manis banget plus esnya rasa santannya pas"
Enak & betah,"restonya besar, pelayanannya bagus, makanannya juga enak. - lontong priyangan salah satu menu andalannya, ga salah pilih karena enak & recommended buat dicoba. Kuahnya kaya rasa, Lontong nya lembut, porsinya juga lumayan. - katsu, rasanya biasa aja ga terlalu istimewa. - sweet ice tea nya juara, teh nya lekoh banget. Berpadu pas dengan manisnya"
ALL IZ WELL 💫,"Makan siang di tanggal merah gini langsung kepikiran buat nyobain Roemah Legit yang dimana mumpung juga ada Kupon dari Perkul hehe.Gue nyobain makanan :- Nasi Ase (68k)- Nasi Bambu Ireng (68k)- Nasi Timbel (59k)Dan minumannya :- Jamoe Kunyit Asam (27,5k)- Juice Alpukat (30k)Untuk rasa makanan enak semuaa terutama makanan yang gue cobain Nasi Ase. Dia kek nasi bali gitu ada 2 jenis ayam bumbu suwir, sate lilit, lawar, pepes lilit, kacang, bawang goreng, sambal matah, dll // semuanya berbumbu dan kerasa banget!!!Untuk nasi timbel lumayan enak kremesan, sayur asam, dan sambelnya mantapp & nasi bambu ireng cumi & sambel cuminya enak dan pedes // kalau untuk nasinya kek taste nasi goreng sih.Untuk kue nya nyobain yang peanut sama kek pie itu juga rasanya enak ya gaesss. (5k - 7.5k /pcs)Untuk jamoe nya enak asam nya pas gitu & juice alpukatnya kental Pelayanannya oke banget pengetahuan ttg menu baik & view + suasana enak banget yang bikin betah berjam jam duduk disini 😁"
Porsi puas!,"Kesini pake kupon perkul dadakan karena mendadak butuh isi perut pas lagi jalan sama keluarga, karena niatnya emang cuma mau ngemil jadi order teh poci (bisa buat 2-3 orang) plus beberapa cemilan seperti batagor crispy dan singkong goreng. Sebenernya order gehu juga tapi lupa ga kefoto ih sebel. Dilihat dari segi harga sekitaran 25 ribu seporsi (plus tax service) kepikiran agak high ya buat cemilan tradisional tapi ternyata porsinya gede cuy! Masing-masing isinya 5 pcs dan gede! Terus walaupun judulnya gorengan tapi ga oily loh. Rasanya juga enak! Saya bersyukur ga salah pilih tempat nih ortu juga suka. Sampe ludes semua 3 porsi cemilan. Service juga sangat helpful dan tempat bersih + nyaman."
Resto keren di dalam gang,"Pertama melihat restonya..really surprised..! Gak nyangka ada resto keren di dalam gang ..bukan cuma gedungnya aja tapi interior  didalamnya pun unik dan terkesan cozy...homy banget ..langsung milih kursi yg nyaman dan duduk serta pesan menu ..sop buntut, ayam bakar madu dan jus strawberry...begitu datang cukup kaget krn sop buntutnya porsinya besar dan isi dagingnya banyak sekaliii...rasanya wuenaaak ...utk ayam bakar madunya menurutku agak kemanisan ..kurang gurih gitu..tapi still ok sih , bakarnya lumayan wangi..dan jus strawberrynya segerrr ..  tinggal  slurpy rasanya nikmat asem manis segerr..Alhasil kenyang banget..dan puass...nemu resto ini karena dapet voucher dari pergi kuliner...keren deh...mau nyoba lagi next time..kalau trip ke Bandung lagi..."
Ultimately Legit,"Duh kalau ngomongin Roemah Legit sih udah tidak ada lawan lagi. Emang seTOP itu. Salah satu Restoran dengan konsep modern Indonesian cuisine ter epic di Bandung sih. Bisa dilihat dari penataannya pun sungguh tertata dengan indah tapi ga lebay. Dari beberapa menu yang saya coba, paling amaze sama iga bakarnya. Terus juku jimbaran (ikan gurame bakar) juga mantab! Makanan disini emang mostly Indonesian food sih dan rempahnya juga dominan. Cocok di lidah saya yang emang suka makanan berempah. Minuman juga boleh dicoba ada aneka pilihan mulai dari yang segar sampai yang manis gurih. Ada harga ada rasa ada kualitas. Oiya otak-otaknya juga enak! Sampe lupa saking kekenyangan makan."
Keliling Nusantara di Roemah Legit,"Roemah Legit ini emang spesialisnya makanan dari berbagai nusantara! Selain tempatnya yang super duper bikin nyaman dan betah, pelayanan disini juga top markotop Tempatnya sangat luas, ada 3 lantai kalo gasalah dan ada liftnya juga. Cocok buat family dinner, gathering sama temen-temen, atau sekadar pengen ngobrol nongkrong juga cocok!Dari beberapa menu appetizer, main course, dan dessertnya Roemah Legit yang aku cobain, here's my top 5:1. Iga Garang Asem: Iganya gede, dagingnya empuk, kuahnya rich banget. TOPPP!2.  Otak-Otak Tunu dan Otak-Otak Goreng: ga paham pokoknya sama otak-otak di Roemah Legit bener-bener seenak ituu sampe ngabisin lumayan banyak saking enaknya T__T3. Iga Bakar: Ini ga kalah mantep, bumbunya bener bener meresap dan aahh manis gurih dan pedes dikit dari ladanya tuh nampol banget4. Ayam Kodok: Baru pertama kali liat ayam kodok dari namanya agak aneh but then masuk my top 5 karena rasanya gurih, dalemnya ada telor rebus, dan ada sayurannya juga5. Puding Kelapa Thailand: puding kelapanya seger banget, manisnya tuh bukan manis yang bikin giungAhhh pokoknyaa menu disinii veryyy appetizing!"
roemah legit,aaa udah ketiga kalinya kesini selalu amaze sama pelayanannya karena super gercep dan sangat helpful! ambience tempatnya juga aku suka banget karena bener bener nuansa nusantara banget.cobain beberapa menu andalan merekaa yang bener bener khas nusantara banget tapi paling aku suka diantaranya itu gurame bumbunya mereka rasanya gurih manis terus juga ada iga bakarnya mereka yang beneran empuk dan bumbunya sangat meresap. ada juga menu ayamnya mereka yang beneran besar seperti kodok dengan rasa yang gurih. ada juga bakso dan mie kocoknya menurutku baksonya empuk dan enak banget kuahnya juga gurih. dan masih banyak makanan makanan nusantara lainnya yang aku pesen dan menurutku semuanya bener bener enak banget bumbunya kerasa banget khas nusantaranya. minumannya juga cobain leci mojitonya yang super segar dan banyak buahnya. desaertnya pun lengkap dari cemilan sampai es dan juga jelly
RESTO TERBAIK,"Mau cari resto yang nyaman dan enak? Ini sih solusinya. Dari interiornya gila sih klasik banget, buat yang suka koleksi barang barang antik kuni gituu pasti dimanjain banget sama lukisan dan patung-patung yang ada disana. Tempatnya gemerlap terang dengan banyak lampu tiap sudutnya buat suasana makan jadi lebih selera gitu dan tone warna interiornya pake earth tone gitu ya bikin adem suasana.Untuk pelayanannya definisi ramah yang ga mandang siapapun, mau anak, remaja, dewasa, orang tua di layani dengan senyum dan sapa yang tulus.Untuk waktu makanan datang pun sangat super duper cepat yang bikin kita ga kelaperan gitu dan bertanya-tanya kapan ya makanan dan minuman nya ready. Sekitar 3 menit dari pemesanan, minuman langsung ready dan untuk makanan hanya total menunggu sekitar 10 menit an saja.Dari banyaknya menu dari hidangan pembuka, utama, dan penutup. Saya memilih satu yang menjadi kesukaan saya yaitu untuk hidangan pembuka yang enak itu adalah mochi nya yang memiliki beragam rasa dan lembut banget. Untuk hidangan utama yang paling menggugah selera menurut saya yaitu ikan gurame bakar nya yang rasanya mewah banget dipadukan rasa manis dan gurih yang membuat lidah dimanjakan di setiap gigitan. Serta untuk hidangan penutup yang paling kreatif adalah jelly yang dihidangkan di kulit nanas dan jeruk, manis segar dan kreatif banget. Dan yang terakhir minuman yang menjadi kesukaan saya adalah kopi wedang, rasa yang dipadukan dengan kayu manis dan cengkeh sungguh harum dan menyehatkan."
Resto dengan Hidangan Nusantara di Bandung!,"First Time mampir ke Roemah Legit udah dibuat excited banget! Dari awal masuk sudah disambut ramah oleh setiap pelayannya. Nuansa Cafe klasik dipadukan dengan nuansa Bali bener bikin setiap detail pajangan yang dipasang bikin nyaman pelanggan dan kepingin bersama-lama disini.Selain pelayanannya yang ramah dan gesit, menu yang disajikan pun dibuat dengan niat sehingga dapat dinikmati oleh pelanggan dengan baik. Terlihat dari setiap detailing platting nya pun Rapih,Unik,Menarik bahkan sampai gak tega untuk dimakan✌🏻Dari menu yang dihidangkan aku suka banget dengan Ayam Kodok nya karena beneran bikin Surprise👏 rasanya enak dan ini bisa jadi menu utama kalau makan bersama keluarga. Aneka menu Iga nya juga ini rekomendasi karena daging iga nya Juicy dan empuk banget! Minumannya aku coba Frappuciono Mint dan ini penghilang dahaga banget, manis pahitnya pas ditambah wangi daun mint juga. Untuk dessert cobain Bika Ambon dan Mochi Taiwan udah paket complete ini enak seriusan rasanya gak cukup sekali makan."
Gurih Berasa,"Kali ini mampir lagi manfaatin kupon, karena belum makan siang jadi pilih Nasi Ayam Betutu (59K), platingnya komplit dan menggugah selera banget, dari ayam ungkep, sambal, kacang, dll..  pedesnya sambal & lekoh ayamnya kaya rempah, bumbunya meresap dan gurih berasa.
Cemilan Lumpiah Goreng (40K) jenis lumpia semarang, terdiri dari 4 potong yang lumayan gede & padet berisi, kulitnya crunchy dan cocolan saus lumpia yang kenyal dengan hint manisnya juga tambah ada rasa. Minuman pilih Strawberry Juice (30K) yang seger, dengan manis asem buahnya yang fresh."
Seger!,"Dateng sore pas weekend dan ada live music-nya juga, ambience-nya pun adem dan homey banget jadi betah buat nongkrong.Kali ini nyoba Buntut Kuah Tabia (95K) yang pedesnya bisa di request, pilih yang pedas standar si dan ini pun pedesnya berasa, g yang pedes panas tapi lebih ke pedes seger, soalnya balance gitu sama citarasa bumbu rempahnya, sayurnya ada tomat, wortel, kentang, daun seledri, dagingnya g segede tulangnya, tapi teksturnya empuk & g alot.Minum nyoba Pineapple Punch (30K) lagi, perfectly mixed antara asem lemon & manisnya nanas, potongan nanas pun lumayan banyak jadi seger banget."
Back here again!,"Setelah kemarin coba buat makan disini pake kupon pergikuliner, akhirnya balik lagi kesini untuk coba menu2 lainnya. Menu disini emang super duper variatif dan walaupun andalan mereka tuh Indonesian food, tapi makanan lainnya juga ga kalah enak!Kali ini aku cobain lumayan banyak menu:Nasi ase, ayam geprek cabe ijo, ayam penyet, crispy chicken with white sauce, crispy chicken sambal matah, peda peuteuy, tahu bejek, mie godog, ayam garang asam, nasi goreng gila, nasi banyoe biru, soto tasik, nasi goreng rawon, sate juku balangan, french toast vanilla & chocolate, rujak galo, es durian legit, dan minumnya ice mango pie. Personal favorite: 1. es durian legit: ini emang legit banget, duriannya tuh manis dan wangi banget.2. French toast chocolate: toastnya super empuk dan rasa chocolatenya lebiu ke dark chocolate gitu sih, jadi ga terlalu manis.3. ayam geprek cabe ijo: ayamnya crispy dan gurih, sambel ijonya nendang dan seger!4.peda peuteuy: uniknya tuh ikan pedanya kaya ga keras gitu, dagingnya lembut terus ga terlalu asin.5. nasi goreng rawon : daging rawonnya lembut terus nasi gorengnya kaya wangi smokey gitu. Parah sih enak banget!6. Rujak galo: bumbu rujaknya enak banget, asem pedes seger pas banget! Recommended!7. Sate juku balangan: inituh gurame bakar tapi ditusukin kaya sate. Marinasinya enak banget, dan ikannya sama sekali ga amis. Kalo kesini boleh coba menu2 diatas, enak banget sih semua makanan disini, hampir gaada yang fail. Keep up the good job roemah legit!"
Sate gurame nya enak bgttt,"Pertama kali kesini langsung jatuh cinta bgt karena tempatnya cozy, tersedia lift juga kalo lagi mager tinggal pake lift aja terus pelayannya baik banget. Aku pesen beberapa menu dan aku suka semua terutama:1. sate gurame itu enak bgt rasa remphnya rich, manis, smoky nya berasa. 2. Mie godok nya enak jugaa ga terlalu benyek mie nya3. Peda pete nya enak pete nya seger masih bunyi kriuk4. Ada desert durian gitu aku lupa namanya itu juga juara duriannya ga pelit dan rasa manisnya pas5. Soto tasik porsinya pas ngenyangin 6. Dan galupa nasi pandannya pun enakk bgttt Wajib bgt buat dateng lagi kesini karena seenak itu."
Cafe cakep bikin betah,"Yess udah lama ga kesini.... akhirnya mampir again di Roemah Legit.Tempatnya keche banged bikin betah berlama lama disini. Pelayanannya juga cepat dan ramah.Ga nyesel datang kesini, makanan dan minumannya enak enak... Menu yang qt icip icip lumayan banyak bisa dibilang banyak pisan ampe ga muat tempat posting fotonya 🤭😂in frame :Sate Juku Balangan, Rujak Galo, Nasi Ase, Chicken Matah, Ayam Geprek Cabe Ijo, Crispy Chicken With White Sauce, Pakcoy Woy Sauce, Nasi Pandan, Nasi Banyoe Biru, Nasi Tutug Oncom, Nasi Cikur, Nasi Merah, Bubur Sum Sum, Sparkling Yuzu, Putu Latte, Ice Mango Pie, Klepon Coffee, Caramel Machiato, Peda Oseng Peuteuy, Nasi Goreng Rawon, Soto Tasik, Ayam Penyet, French Toast Coklat, French Toast Vanila, Es Durian Legit, Nasi Goreng Gila, Tahu Bejek, Mie Godog, Pepes Goreng AsamSemuanya aq suka.sih.. diantaranya yang terfav versi aq : Sate Juku Balangannya yaitu sate gurame bumbu Jimbaran, Rujak Galonya seger isi buah2an pake bumbu kacang, Nasi Cikurnya enak bumbu cikurnya kerasa, Bubur Sum Sum jangan ketinggalan ini enak pisan ei, Klepon Coffeenya mantap ga kemanisan, Peda Oseng Peuteuy pas pisan makan sama nasi cikurnya tambah nikmat, Nasi Goreng Rawon itu unik ya penyajiannya nasi goreng bumbu rawon tapi daging dan kuahnya dipisah, Soto Tasik itu soto ayam enak gurih, French Toast Coklat rotinya empuk pake coklat & es krim coklat, Es Durian Legit bikin nagih nih, Nasi Goreng Gila duh jadi pengen lagi, Mie Godog fav aq mirip mie tek tek, Pepes Goreng Asam daging ayamnya empuk n kuahnya seger ada asam asam gitu. Roemah Legit Resto & Cafe @roemahlegit Jl. Embong No 15 BandungCall : 082120980008 atau 081224554228Open : Senin - mingguJam 10.00 - 21.00"
Menu Indonesiannya Banyak pilihan & Istimewa rasanya,"Tempatnya cozy banget. Lokasinya sebetulnya ngga dijalan besar banget. Tapi ga susah nemuinnya. Tersedia Lift untuk menuju lantai 2. Makanannya oke.. rasa sesuai ekspektasi.Menu Nasi Goreng Rawon, Soto Tasik, Chicken with White Sauce nya enakkk, Sate Juku Balangan juga pateenn.. itu sate dengan rsa manis pedas dari fillet ikan gurameUntuk Ayam Geprek nya pake Cabe Ijo mentah... Mantappp rasanya. Dan ternyata pedess mampusss."
Soto Ayam Tasik Muantapp,Pilihan makanan banyak. Khususnya menu Indonesian & Eropa Soto Ayam Tasiknya UenaakkkSate Juku Balangan nya juga Paten.Interiornya asyik .. naik ke lantai 2 ada lift juga.Pas buat selfie2 dan nongki2 cantik. Betahhh berlama2 disini.
